doc,half1,half2
JPM_2010Q4,0.0,0.0005184033177812338
JPM_2011Q1,0.0,0.0
JPM_2011Q2,0.0,0.0
JPM_2011Q3,0.0,0.0005871990604815032
JPM_2011Q4,0.0,0.0
JPM_2012Q1,0.0,0.0
JPM_2012Q2,0.0006188118811881188,0.0
JPM_2012Q3,0.0,0.0
JPM_2012Q4,0.0,0.0
JPM_2013Q1,0.0,0.0
JPM_2013Q2,0.0,0.0
JPM_2013Q3,0.0,0.0
JPM_2013Q4,0.0,0.0
JPM_2014Q1,0.0,0.0
JPM_2014Q2,0.0,0.000493339911198816
JPM_2014Q4,0.0004472271914132379,0.0005461496450027307
JPM_2015Q1,0.0,0.0021008403361344537
JPM_2015Q2,0.0,0.0
JPM_2015Q3,0.0,0.0
JPM_2015Q4,0.00045004500450045,0.0
JPM_2016Q1,0.0011248593925759281,0.0033783783783783786
JPM_2016Q2,0.0004716981132075472,0.0
JPM_2016Q3,0.0,0.0
JPM_2016Q4,0.0,0.00045578851412944393
JPM_2017Q1,0.0,0.0
JPM_2017Q2,0.0,0.0011689070718877848
JPM_2017Q3,0.0,0.0016675931072818232
JPM_2017Q4,0.00044742729306487697,0.0
JPM_2018Q1,0.0,0.0
JPM_2018Q2,0.0,0.000859106529209622
JPM_2018Q3,0.0,0.0
JPM_2018Q4,0.0,0.0
JPM_2019Q1,0.00044662795891022776,0.0005714285714285715
JPM_2019Q2,0.0,0.0
JPM_2019Q3,0.0,0.0
JPM_2019Q4,0.0,0.002523128679562658
JPM_2020Q1,0.0,0.0
JPM_2020Q2,0.0,0.00078003120124805
JPM_2020Q3,0.000502008032128514,0.0
JPM_2020Q4,0.0007454342154304882,0.0006138735420503376
JPM_2021Q1,0.0009128251939753537,0.0013157894736842105
JPM_2021Q2,0.0,0.0
JPM_2021Q3,0.0,0.0
JPM_2021Q4,0.0003992015968063872,0.0
JPM_2022Q1,0.0011179429849077697,0.0
